[114.670991898] 2017-12-31 14:59:57,457 - INFO - launcher: Starting sanity checks
[121.181011200] 2017-12-31 14:59:57,463 - INFO - launcher: Checking for Python 3.5+
[127.690553665] 2017-12-31 14:59:57,470 - INFO - launcher: Checking console encoding
[128.190994263] 2017-12-31 14:59:57,470 - INFO - launcher: Setting console encoding to UTF-8
[129.193305969] 2017-12-31 14:59:57,471 - INFO - launcher: Ensuring we're in the right environment
[139.711141586] 2017-12-31 14:59:57,482 - INFO - launcher: Adding local bins/ folder to path
[145.715951920] 2017-12-31 14:59:57,488 - INFO - launcher: Required checks passed.
[151.726007462] 2017-12-31 14:59:57,494 - INFO - launcher: Optional checks passed.
[155.230283737] 2017-12-31 14:59:57,497 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[7.5871918201446533] 2017-12-31 15:00:04,929 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[7.5881938934326172] 2017-12-31 15:00:04,930 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[7.6727898120880127] 2017-12-31 15:00:05,015 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 2564 in on_voice_state_update: Voice state update for 387090288780509184/S.Q.U.I.P#8804 on 15Gvant/Chilling/ Customs Team #1 -> [JOIN, CONNECT]
[7.6732909679412842] 2017-12-31 15:00:05,015 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2575 in on_voice_state_update: 387090288780509184/S.Q.U.I.P#8804 has joined 15Gvant/Chilling/ Customs Team #1
[7.6898186206817627] 2017-12-31 15:00:05,032 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[7.7213664054870605] 2017-12-31 15:00:05,063 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 403 in join_voice_channel: (join_voice_channel) connecting...
[8.1987102031707764] 2017-12-31 15:00:05,541 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 415 in join_voice_channel: (join_voice_channel) connection successful
[8.1992106437683105] 2017-12-31 15:00:05,541 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 463 in get_voice_client: Connected in 0.7s
[8.1997122764587402] 2017-12-31 15:00:05,542 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 464 in get_voice_client: Connected to 15Gvant/Chilling/ Customs Team #1
[8.2022149562835693] 2017-12-31 15:00:05,544 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 805 in deserialize_queue: Deserializing queue for 237253855035916300
[8.8461608886718750] 2017-12-31 15:00:06,188 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 555 in get_player: Created player via deserialization for server 237253855035916300 with 1 entries
[8.8466620445251465] 2017-12-31 15:00:06,189 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 283 in _join_startup_channels: Joined 15Gvant/Chilling/ Customs Team #1
[8.8486669063568115] 2017-12-31 15:00:06,191 - VOICEDEBUG - musicbot.player | In player.py::MainThread(6284), line 311 in websocket_check: Starting websocket check loop for 15Gvant
[8.8526751995086670] 2017-12-31 15:00:06,195 - FFMPEG - musicbot.player | In player.py::MainThread(6284), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-od8YbI9NJ2E-Dramaturgy_English_Cover_JubyPhonic.webm
[8.9212749004364014] 2017-12-31 15:00:06,263 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[121.7577342987060547] 2017-12-31 15:01:59,100 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 237250384941416453/Masking Formation#5266: !play squip song
[128.6392619609832764] 2017-12-31 15:02:05,981 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[128.6577913761138916] 2017-12-31 15:02:06,000 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 219 in _really_download: Download started: https://www.youtube.com/watch?v=39E5nb0jP8Q
[131.8326160907745361] 2017-12-31 15:02:09,175 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 226 in _really_download: Download complete: https://www.youtube.com/watch?v=39E5nb0jP8Q
[135.3158721923828125] 2017-12-31 15:02:12,658 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 157631503407382529/Mr. Sandman#9382: !play macintosh plus
[138.1659085750579834] 2017-12-31 15:02:15,508 - ERROR - musicbot.bot | In bot.py::MainThread(6284), line 2515 in on_message: Error in play: PermissionsError: You don't have permission to use that command.
Reason: Song duration exceeds limit (2868 > 1200)
Traceback (most recent call last):
  File "C:\Users\Jose\MusicBot\musicbot\bot.py", line 2502, in on_message
    response = await handler(**handler_kwargs)
  File "C:\Users\Jose\MusicBot\musicbot\bot.py", line 1457, in cmd_play
    expire_in=30
musicbot.exceptions.PermissionsError: Song duration exceeds limit (2868 > 1200)
[204.4621806144714355] 2017-12-31 15:03:21,804 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 157631503407382529/Mr. Sandman#9382: !play https://www.youtube.com/watch?v=3bNITQR4Uso
[208.2605443000793457] 2017-12-31 15:03:25,603 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[245.8176414966583252] 2017-12-31 15:04:03,160 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 2555 in on_voice_state_update: Empty voice state update, likely a session id change
[270.5932922363281250] 2017-12-31 15:04:27,935 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 237250384941416453/Masking Formation#5266: !skip
[270.6028082370758057] 2017-12-31 15:04:27,945 - FFMPEG - musicbot.player | In player.py::MainThread(6284), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-39E5nb0jP8Q-The_Squip_Song_-_BE_MORE_CHILL_LYRICS.webm
[270.6413621902465820] 2017-12-31 15:04:27,983 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[270.6633985042572021] 2017-12-31 15:04:28,006 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 219 in _really_download: Download started: https://www.youtube.com/watch?v=3bNITQR4Uso
[270.6704065799713135] 2017-12-31 15:04:28,013 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[276.7474083900451660] 2017-12-31 15:04:34,090 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 226 in _really_download: Download complete: https://www.youtube.com/watch?v=3bNITQR4Uso
[282.9718916416168213] 2017-12-31 15:04:40,314 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 237250384941416453/Masking Formation#5266: !volume
[289.9832906723022461] 2017-12-31 15:04:47,325 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 237250384941416453/Masking Formation#5266: !volume 40
[385.6251578330993652] 2017-12-31 15:06:22,967 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(6284), line 2555 in on_voice_state_update: Empty voice state update, likely a session id change
[482.7259101867675781] 2017-12-31 15:08:00,068 - FFMPEG - musicbot.player | In player.py::MainThread(6284), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-3bNITQR4Uso-Maria_Takeuchi_Plastic_Love.webm
[482.7559518814086914] 2017-12-31 15:08:00,098 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[482.7794864177703857] 2017-12-31 15:08:00,122 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[752.8276326656341553] 2017-12-31 15:12:30,170 - INFO - musicbot.bot | In bot.py::MainThread(6284), line 2395 in on_message: 237250384941416453/Masking Formation#5266: !play stay alive reprise
[758.8292050361633301] 2017-12-31 15:12:36,171 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
[758.8497345447540283] 2017-12-31 15:12:36,192 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 219 in _really_download: Download started: https://www.youtube.com/watch?v=uX5luOi6Vn0
[761.7251963615417480] 2017-12-31 15:12:39,067 - INFO - musicbot.entry | In entry.py::MainThread(6284), line 226 in _really_download: Download complete: https://www.youtube.com/watch?v=uX5luOi6Vn0
[958.8199026584625244] 2017-12-31 15:15:56,162 - FFMPEG - musicbot.player | In player.py::MainThread(6284), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-uX5luOi6Vn0-Stay_Alive_Reprise_Hamilton_Animatic_by_Galactibun_Spibbles.webm
[958.9526038169860840] 2017-12-31 15:15:56,295 - DEBUG - musicbot.bot | In bot.py::MainThread(6284), line 781 in serialize_queue: Serializing queue for 237253855035916300
